Millionenst�dte 2010; Quelle: Wikipedia
Stadt; Einwohner; Land ; Kontinent
Shanghai; 18.328.904;   China; Asien
Peking; 15.796.450;   China; Asien
Istanbul; 13.820.194;   T�rkei; Asien
Karatschi; 11.846.509;   Pakistan; Asien
Mumbai; 11.671.924;   Indien; Asien
Moskau; 11.196.438;   Russland; Europa
Delhi; 10.972.065;   Indien; Asien
Sao Paulo; 10.832.496;   Brasilien; S�damerika
Seoul; 10.427.819;   S�dkorea; Asien
Jakarta; 9.681.453;   Indonesien; Asien
Lagos; 9.349.501;   Nigeria; Afrika
Mexiko-Stadt; 8.937.442;   Mexiko; Nordamerika
Tokio; 8.726.529;   Japan; Asien
Shenzhen; 8.696.429;   China; Asien
New York; 8.541.935;   Vereinigte Staaten; Nordamerika
Kinshasa; 8.120.976;   Demokratische Republik Kongo; Afrika
Teheran; 7.706.819;   Iran; Asien
Kairo; 7.416.083;   �gypten; Afrika
Bangkok; 7.229.651;   Thailand; Asien
London; 7.099.845;   Vereinigtes K�nigreich; Europa
Hongkong; 7.012.849;   Hongkong; Asien
Lima; 6.802.571;   Peru; S�damerika
Dhaka; 6.730.264;   Bangladesch; Asien
Lahore; 6.499.085;   Pakistan; Asien
Bogot�; 6.319.720;   Kolumbien; S�damerika
Rio de Janeiro; 6.023.742;   Brasilien; S�damerika
Bagdad; 5.672.513;   Irak; Asien
Bengaluru; 5.281.927;   Indien; Asien
Ho-Chi-Minh-Stadt; 5.140.412;   Vietnam; Asien
Santiago de Chile; 4.837.248;   Chile; S�damerika
Ankara; 4.650.802;   T�rkei; Asien
Kolkata; 4.643.011;   Indien; Asien
Rangun; 4.477.638;   Myanmar; Asien
Chennai; 4.376.400;   Indien; Asien
Wuhan; 4.184.206;   China; Asien
Riad; 4.087.152;   Saudi-Arabien; Asien
Sankt Petersburg; 4.039.745;   Russland; Europa
Chongqing; 3.967.028;   China; Asien
Chengdu; 3.950.437;   China; Asien
Xi'an; 3.935.191;   China; Asien
Los Angeles; 3.834.340;   Vereinigte Staaten; Nordamerika
Ahmedabad; 3.819.497;   Indien; Asien
Alexandria; 3.811.516;   �gypten; Afrika
Sydney; 3.774.894;   Australien; Australien
Tianjin; 3.766.207;   China; Asien
Abidjan; 3.692.570;   Elfenbeink�ste; Afrika
Busan; 3.678.551;   S�dkorea; Asien
Hyderabad; 3.665.106;   Indien; Asien
Kano; 3.626.204;   Nigeria; Afrika
Singapur; 3.583.100;   Singapur; Asien
Yokohama; 3.654.427;   Japan; Asien
Ibadan; 3.565.810;   Nigeria; Afrika
Shenyang; 3.512.192;   China; Asien
Berlin; 3.457.675;   Deutschland; Europa
Melbourne; 3.384.671;   Australien; Australien
Durban; 3.346.799;   S�dafrika; Afrika
Harbin; 3.229.883;   China; Asien
Johannesburg; 3.225.608;   S�dafrika; Afrika
Madrid; 3.213.271;   Spanien; Europa
Surat; 3.156.578;   Indien; Asien
Pune; 3.153.883;   Indien; Asien
Guangzhou; 3.152.825;   China; Asien
Nanjing; 3.087.010;   China; Asien
Kanpur; 2.975.526;   Indien; Asien
Omdurman; 2.970.099;   Sudan; Afrika
Casablanca; 2.933.684;   Marokko; Afrika
Jaipur; 2.926.915;   Indien; Asien
Pj�ngjang; 2.926.443;   Nordkorea; Asien
Chicago; 2.836.658;   Vereinigte Staaten; Nordamerika
Addis Abeba; 2.823.167;   �thiopien; Afrika
Athen; 2.805.262;   Griechenland; Europa
Dschidda; 2.801.481;   Saudi-Arabien; Asien
Luanda; 2.776.125;   Angola; Afrika
Nairobi; 2.765.657;   Kenia; Afrika
Buenos Aires; 2.746.761;   Argentinien; S�damerika
Taiyuan; 2.722.475;   China; Asien
Salvador da Bahia; 2.711.903;   Brasilien; S�damerika
Daressalam; 2.698.651;   Tansania; Afrika
Kiew; 2.660.401;   Ukraine; Europa
Osaka; 2.628.776;   Japan; Asien
Taipeh; 2.622.472;   Taiwan; Asien
Lakhnau; 2.611.300;   Indien; Asien
Faisalabad; 2.582.175;   Pakistan; Asien
Incheon; 2.580.775;   S�dkorea; Asien
Daegu; 2.566.537;   S�dkorea; Asien
Izmir; 2.557.851;   T�rkei; Asien
Rom; 2.553.873;   Italien; Europa
Changchun; 2.537.421;   China; Asien
Toronto; 2.503.281;   Kanada; Nordamerika
Quezon City; 2.455.943;   Philippinen; Asien
Gizeh; 2.443.203;   �gypten; Afrika
Kabul; 2.436.000;   Afghanistan; Asien
Sana'a; 2.431.649;   Jemen; Asien
Tunis; 2.380.500;   Tunesien; Afrika
Kapstadt; 2.375.910;   S�dafrika; Afrika
Belo Horizonte; 2.373.255;   Brasilien; S�damerika
Surabaya; 2.358.111;   Indonesien; Asien
Nagpur; 2.317.946;   Indien; Asien
Fortaleza; 2.311.911;   Brasilien; S�damerika
Maschhad; 2.307.254;   Iran; Asien
Cali; 2.287.819;   Kolumbien; S�damerika
Santo Domingo; 2.253.437;   Dominikanische Republik; Nordamerika
Nagoya; 2.215.031;   Japan; Asien
Houston; 2.208.180;   Vereinigte Staaten; Nordamerika
Havanna; 2.192.500;   Kuba; Nordamerika
Paris; 2.181.371;   Frankreich; Europa
Guayaquil; 2.157.853;   Ecuador; S�damerika
Chittagong; 2.123.709;   Bangladesch; Asien
Khartum; 2.090.001;   Sudan; Afrika
Changsha; 2.073.938;   China; Asien
Jinan; 2.069.266;   China; Asien
Mosul; 2.065.597;   Irak; Asien
Basra; 2.015.483;   Irak; Asien
Zhengzhou; 2.014.125;   China; Asien
Dakar; 1.998.635;   Senegal; Afrika
Shijiazhuang; 1.992.474;   China; Asien
Taschkent; 1.978.078;   Usbekistan; Asien
Indore; 1.967.229;   Indien; Asien
Accra; 1.963.264;   Ghana; Afrika
Medell�n; 1.955.753;   Kolumbien; S�damerika
Maracaibo; 1.948.269;   Venezuela; S�damerika
Yaound�; 1.926.496;   Kamerun; Afrika
Douala; 1.884.802;   Kamerun; Afrika
Jilin; 1.881.977;   China; Asien
Sapporo; 1.880.875;   Japan; Asien
Hangzhou; 1.878.129;   China; Asien
Bukarest; 1.877.155;   Rum�nien; Europa
Nanchang; 1.871.351;   China; Asien
Caracas; 1.815.681;   Venezuela; S�damerika
Ecatepec de Morelos; 1.806.297;   Mexiko; Nordamerika
Rawalpindi; 1.793.197;   Pakistan; Asien
Hamburg; 1.773.218;   Deutschland; Europa
Medan; 1.763.874;   Indonesien; Asien
Minsk; 1.753.245;   Wei�russland; Europa
Patna; 1.722.140;   Indien; Asien
Budapest; 1.721.556;   Ungarn; Europa
Curitiba; 1.718.433;   Brasilien; S�damerika
Warschau; 1.716.655;   Polen; Europa
Wien; 1.712.903;   �sterreich; Europa
Soweto; 1.695.047;   S�dafrika; Afrika
Bhopal; 1.686.792;   Indien; Asien
Brisbane; 1.683.999;   Australien; Australien
Bandung; 1.651.840;   Indonesien; Asien
Qingdao; 1.642.245;   China; Asien
Guadalajara; 1.640.649;   Mexiko; Nordamerika
al-Chartum Bahri; 1.626.638;   Sudan; Afrika
Aleppo; 1.626.218;   Syrien; Asien
Ludhiana; 1.624.767;   Indien; Asien
Rabat; 1.622.860;   Marokko; Afrika
Montreal; 1.620.693;   Kanada; Nordamerika
Bekasi; 1.619.775;   Indonesien; Asien
Pretoria; 1.619.438;   S�dafrika; Afrika
Barcelona; 1.615.908;   Spanien; Europa
Thane; 1.612.738;   Indien; Asien
Manaus; 1.598.227;   Brasilien; S�damerika
Tangshan; 1.596.949;   China; Asien
Kaduna; 1.582.211;   Nigeria; Afrika
Damaskus; 1.580.909;   Syrien; Asien
Manila; 1.568.926;   Philippinen; Asien
Phoenix; 1.552.259;   Vereinigte Staaten; Nordamerika
Isfahan; 1.547.241;   Iran; Asien
Harare; 1.542.813;   Simbabwe; Afrika
Kobe; 1.525.389;   Japan; Asien
Agra; 1.521.112;   Indien; Asien
Algier; 1.518.083;   Algerien; Afrika
Quito; 1.516.353;   Ecuador; S�damerika
Kaohsiung; 1.512.677;   Taiwan; Asien
�r�mqi; 1.508.225;   China; Asien
Recife; 1.478.118;   Brasilien; S�damerika
Daejeon; 1.475.220;   S�dkorea; Asien
Kyoto; 1.474.764;   Japan; Asien
Multan; 1.471.478;   Pakistan; Asien
Kumasi; 1.468.609;   Ghana; Afrika
Philadelphia; 1.449.634;   Vereinigte Staaten; Nordamerika
Charkiw; 1.464.740;   Ukraine; Europa
Vadodara; 1.462.058;   Indien; Asien
Kuala Lumpur; 1.453.978;   Malaysia; Asien
Pimpri-Chinchwad; 1.452.620;   Indien; Asien
Karadsch; 1.448.996;   Iran; Asien
Caloocan; 1.438.852;   Philippinen; Asien
Tangerang; 1.433.427;   Indonesien; Asien
Hanoi; 1.431.377;   Vietnam; Asien
Bursa; 1.431.000;   T�rkei; Asien
T�bris; 1.424.701;   Iran; Asien
Gujranwala; 1.421.834;   Pakistan; Asien
Nowosibirsk; 1.419.007;   Russland; Asien
Lanzhou; 1.417.742;   China; Asien
Hyderabad; 1.417.082;   Pakistan; Asien
Gwangju; 1.416.937;   S�dkorea; Asien
Faridabad; 1.411.063;   Indien; Asien
Bel�m; 1.407.737;   Brasilien; S�damerika
Ciudad Ju�rez; 1.403.025;   Mexiko; Nordamerika
Fushun; 1.400.646;   China; Asien
Fukuoka; 1.400.621;   Japan; Asien
Conakry; 1.399.981;   Guinea; Afrika
Puebla; 1.392.137;   Mexiko; Nordamerika
Antananarivo; 1.391.506;   Madagaskar; Afrika
Luoyang; 1.390.581;   China; Asien
Hefei; 1.388.904;   China; Asien
Valencia; 1.385.202;   Venezuela; S�damerika
Makassar; 1.380.840;   Indonesien; Asien
Tijuana; 1.376.494;   Mexiko; Nordamerika
Lubumbashi; 1.374.808;   Demokratische Republik Kongo; Afrika
Porto Alegre; 1.372.763;   Brasilien; S�damerika
Santa Cruz de la Sierra; 1.368.390;   Bolivien; S�damerika
M�nchen; 1.364.980;   Deutschland; Europa
Handan; 1.358.318;   China; Asien
Kampala; 1.353.236;   Uganda; Afrika
Suzhou; 1.343.091;   China; Asien
Shantou; 1.333.973;   China; Asien
Barranquilla; 1.329.579;   Kolumbien; S�damerika
San Antonio; 1.328.984;   Vereinigte Staaten; Nordamerika
Davao City; 1.328.231;   Philippinen; Asien
Kawasaki; 1.327.009;   Japan; Asien
C�rdoba; 1.318.992;   Argentinien; S�damerika
Depok; 1.315.173;   Indonesien; Asien
Phnom Penh; 1.313.851;   Kambodscha; Asien
La Matanza; 1.306.729;   Argentinien; S�damerika
Mailand; 1.299.439;   Italien; Europa
Bamako; 1.297.390;   Mali; Afrika
Mekka; 1.294.168;   Saudi-Arabien; Asien
Nashik; 1.289.497;   Indien; Asien
Jekaterinburg (Swerdlowsk); 1.287.573;   Russland; Asien
Semarang; 1.286.938;   Indonesien; Asien
Nischni Nowgorod (Gorki); 1.284.164;   Russland; Europa
Baotou; 1.279.437;   China; Asien
Adana; 1.271.894;   T�rkei; Asien
Montevideo; 1.269.648;   Uruguay; S�damerika
Lusaka; 1.267.458;   Sambia; Afrika
San Diego; 1.266.731;   Vereinigte Staaten; Nordamerika
Kalyan-Dombivli; 1.262.255;   Indien; Asien
Palembang; 1.257.449;   Indonesien; Asien
Peshawar; 1.253.687;   Pakistan; Asien
Beirut; 1.251.739;   Libanon; Asien
Schiraz; 1.249.972;   Iran; Asien
Suwon; 1.242.799;   S�dkorea; Asien
Dallas; 1.240.499;   Vereinigte Staaten; Nordamerika
Port-au-Prince; 1.234.742;   Haiti; Nordamerika
Perth; 1.234.364;   Australien; Australien
Nezahualc�yotl; 1.232.565;   Mexiko; Nordamerika
Mogadischu; 1.226.654;   Somalia; Afrika
Merath; 1.223.184;   Indien; Asien
Amman; 1.217.924;   Jordanien; Asien
